VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
1,2015-07-01 18:07:07,2015-07-01 18:18:05,1,2.3,-73.97169494628906,40.75112533569336,1,N,-73.98670959472656,40.7222785949707,2,10.0,1.0,0.5,0.0,0.0,0.3,11.8
2,2015-07-29 14:52:40,2015-07-29 14:54:13,4,0.18,-74.13005065917967,40.60567855834961,1,N,-74.13085174560547,40.60758972167969,2,3.0,0.0,0.5,0.0,0.0,0.3,3.8
1,2015-07-29 19:52:52,2015-07-29 19:59:12,1,1.1,-73.98340606689453,40.73516082763672,1,N,-73.98734283447266,40.722259521484375,1,6.5,1.0,0.5,1.0,0.0,0.3,9.3
2,2015-07-11 08:42:06,2015-07-11 08:53:10,1,3.1,-73.99946594238281,40.72686767578125,1,N,-73.97900390625,40.76535415649414,2,11.0,0.0,0.5,0.0,0.0,0.3,11.8
2,2015-07-28 17:01:26,2015-07-28 17:39:17,1,3.65,-73.95352172851561,40.785598754882805,1,N,-73.98397064208984,40.748268127441406,2,24.0,1.0,0.5,0.0,0.0,0.3,25.8
1,2015-07-18 03:54:27,2015-07-18 04:11:18,1,7.2,-73.98082733154298,40.75485610961913,1,N,-73.8788833618164,40.741729736328125,1,23.0,0.5,0.5,2.0,5.54,0.3,31.84
2,2015-07-18 21:41:27,2015-07-18 22:08:22,1,7.67,-73.87071228027344,40.77363967895508,1,N,-73.9775390625,40.77384948730469,2,25.0,0.5,0.5,0.0,0.0,0.3,26.3
1,2015-07-25 05:46:42,2015-07-25 05:52:23,1,1.5,-73.97647857666014,40.75175094604492,1,N,-73.98805236816406,40.734649658203125,2,7.0,0.5,0.5,0.0,0.0,0.3,8.3
2,2015-07-30 20:12:00,2015-07-30 20:20:34,1,1.39,-73.9891586303711,40.742095947265625,1,N,-73.98588562011719,40.72802734375,1,7.5,0.5,0.5,1.76,0.0,0.3,10.56
2,2015-07-11 22:18:05,2015-07-11 22:41:04,1,6.4,-73.98049926757811,40.75366973876953,1,N,-73.95166015625,40.80963134765625,1,23.0,0.5,0.5,4.86,0.0,0.3,29.16
1,2015-07-14 09:24:01,2015-07-14 09:36:20,1,1.9,-73.98390197753906,40.740768432617195,1,N,-74.00541687011719,40.72769165039063,1,10.0,0.0,0.5,1.25,0.0,0.3,12.05
2,2015-07-18 20:17:37,2015-07-18 20:25:52,1,1.26,-73.98801422119139,40.75005722045898,1,N,-73.99546813964845,40.73934173583984,1,7.5,0.5,0.5,2.2,0.0,0.3,11.0
2,2015-07-01 12:20:42,2015-07-01 12:55:54,4,11.64,-73.87521362304686,40.77391815185546,1,N,-73.9928207397461,40.713172912597656,2,36.5,0.0,0.5,0.0,5.54,0.3,42.84
1,2015-07-14 17:02:05,2015-07-14 17:22:26,1,0.8,-73.97856903076173,40.75127410888672,1,N,-73.96792602539062,40.75991821289063,1,12.5,1.0,0.5,4.25,0.0,0.3,18.55
2,2015-07-16 19:28:21,2015-07-16 19:34:54,1,0.99,-73.97978973388672,40.77781295776367,1,N,-73.97366333007811,40.78948211669922,1,6.0,1.0,0.5,1.95,0.0,0.3,9.75
2,2015-07-26 21:53:51,2015-07-26 22:04:37,1,2.83,-73.98810577392578,40.75945663452149,1,N,-73.962646484375,40.7944564819336,1,11.5,0.5,0.5,2.5,0.0,0.3,15.3
1,2015-07-30 19:54:19,2015-07-30 20:09:28,1,1.7,-73.98412322998048,40.7209358215332,1,N,-74.00615692138672,40.735008239746094,1,11.0,1.0,0.5,2.55,0.0,0.3,15.35
1,2015-07-29 08:26:17,2015-07-29 08:34:11,1,1.1,-73.9801025390625,40.74893569946289,1,N,-73.96908569335938,40.76131057739258,1,7.0,0.0,0.5,1.55,0.0,0.3,9.35
1,2015-07-18 16:54:06,2015-07-18 17:02:52,1,2.3,-73.99249267578125,40.71971130371094,1,N,-73.96015167236328,40.7139892578125,1,10.0,0.0,0.5,1.0,0.0,0.3,11.8
1,2015-07-29 22:43:23,2015-07-29 22:46:29,1,0.9,-73.97003936767578,40.76544189453125,1,N,-73.96255493164062,40.776611328125,1,4.5,0.5,0.5,0.58,0.0,0.3,6.38
2,2015-07-12 12:43:31,2015-07-12 12:48:06,1,0.72,-73.96974182128906,40.78470993041992,1,N,-73.9715118408203,40.791988372802734,1,5.0,0.0,0.5,1.16,0.0,0.3,6.96
1,2015-07-31 12:44:16,2015-07-31 12:50:44,1,1.4,-73.97066497802734,40.79358673095703,1,N,-73.95716094970702,40.812049865722656,2,7.0,0.0,0.5,0.0,0.0,0.3,7.8
1,2015-07-25 21:00:24,2015-07-25 21:03:54,1,0.4,-73.95015716552734,40.77972030639648,1,N,-73.95711517333984,40.783100128173835,2,4.5,0.5,0.5,0.0,0.0,0.3,5.8
2,2015-07-12 13:17:23,2015-07-12 13:41:05,1,4.26,-74.00275421142578,40.72350692749024,1,N,-73.9810791015625,40.77341842651367,1,18.0,0.0,0.5,1.0,0.0,0.3,19.8
2,2015-07-19 04:07:05,2015-07-19 04:12:47,1,1.09,-73.99943542480467,40.733524322509766,1,N,-73.98350524902342,40.73014068603516,2,6.0,0.5,0.5,0.0,0.0,0.3,7.3
2,2015-07-13 10:31:57,2015-07-13 10:40:23,5,0.97,-73.99063110351561,40.756439208984375,1,N,-73.97882843017578,40.762889862060554,2,7.0,0.0,0.5,0.0,0.0,0.3,7.8
1,2015-07-03 18:01:24,2015-07-03 18:18:02,2,3.2,-73.98362731933594,40.7260856628418,1,N,-73.968994140625,40.75800323486328,1,13.5,1.0,0.5,2.0,0.0,0.3,17.3
1,2015-07-09 15:40:20,2015-07-09 15:44:07,2,0.4,-73.98114776611328,40.780567169189446,1,N,-73.98628234863281,40.778514862060554,1,4.5,0.0,0.5,1.3,0.0,0.3,6.6
2,2015-07-14 18:32:36,2015-07-14 18:44:54,1,1.6,-73.98971557617188,40.7399787902832,1,N,-74.00296783447266,40.724571228027344,1,9.5,1.0,0.5,3.39,0.0,0.3,14.69
2,2015-07-31 22:52:34,2015-07-31 23:21:00,1,7.93,-73.9972915649414,40.7365608215332,1,N,-73.9515151977539,40.80451583862305,1,27.0,0.5,0.5,5.66,0.0,0.3,33.96
2,2015-07-23 11:15:10,2015-07-23 11:29:33,5,1.57,-73.97474670410156,40.756141662597656,1,N,-73.98873901367188,40.73699569702149,1,10.5,0.0,0.5,2.26,0.0,0.3,13.56
2,2015-07-08 11:45:35,2015-07-08 11:59:41,5,1.29,-73.9783477783203,40.766883850097656,1,N,-73.97479248046875,40.75374221801758,2,10.0,0.0,0.5,0.0,0.0,0.3,10.8
2,2015-07-05 14:00:23,2015-07-05 14:06:16,2,1.91,-73.98194885253906,40.77754592895508,1,N,-73.96656036376953,40.80081558227539,1,7.5,0.0,0.5,2.49,0.0,0.3,10.79
2,2015-07-02 20:09:36,2015-07-02 20:30:27,2,5.84,-73.98966979980467,40.75878143310546,1,N,-74.0074691772461,40.70499038696289,1,20.5,0.5,0.5,5.45,0.0,0.3,27.25
2,2015-07-18 19:19:20,2015-07-18 19:31:30,5,1.48,-73.99208068847656,40.75931167602539,1,N,-73.98001098632812,40.74563980102539,1,9.5,0.0,0.5,2.06,0.0,0.3,12.36
2,2015-07-06 18:46:25,2015-07-06 18:51:30,1,0.96,-73.98728942871094,40.72225570678711,1,N,-73.99761962890625,40.72428894042969,2,5.5,1.0,0.5,0.0,0.0,0.3,7.3
1,2015-07-09 20:17:26,2015-07-09 20:34:22,1,3.2,-73.98597717285155,40.75190353393555,1,N,-73.94967651367188,40.77252960205078,2,14.0,0.5,0.5,0.0,0.0,0.3,15.3
1,2015-07-29 14:46:55,2015-07-29 14:51:42,3,0.8,-73.9886703491211,40.75718688964844,1,N,-73.98128509521484,40.76823806762695,2,5.5,0.0,0.5,0.0,0.0,0.3,6.3
2,2015-07-13 16:43:08,2015-07-13 17:27:57,1,12.27,-73.87483978271484,40.77406311035156,1,N,-74.0143051147461,40.705543518066406,1,39.0,1.0,0.5,8.16,0.0,0.3,48.96
2,2015-07-24 01:58:20,2015-07-24 02:10:35,2,3.05,-73.99243927001953,40.718788146972656,1,N,-73.98522186279298,40.75216293334961,1,12.0,0.5,0.5,1.7,0.0,0.3,15.0
1,2015-07-09 09:20:31,2015-07-09 09:35:28,1,4.6,-73.95669555664062,40.763050079345696,1,N,-73.9892578125,40.72653579711913,2,16.0,0.0,0.5,0.0,0.0,0.3,16.8
2,2015-07-15 08:39:15,2015-07-15 09:01:36,3,3.15,-74.0074920654297,40.715625762939446,1,N,-73.99864959716798,40.753517150878906,1,16.0,0.0,0.5,3.36,0.0,0.3,20.16
2,2015-07-30 08:53:34,2015-07-30 09:09:00,1,2.98,-73.99813842773438,40.75606155395508,1,N,-74.01013946533203,40.72129821777344,1,13.5,0.0,0.5,1.5,0.0,0.3,15.8
2,2015-07-26 10:11:11,2015-07-26 10:17:33,1,1.18,-73.98503875732422,40.763282775878906,1,N,-73.99128723144531,40.749610900878906,2,7.0,0.0,0.5,0.0,0.0,0.3,7.8
2,2015-07-14 06:27:43,2015-07-14 06:34:31,3,2.1,-73.97479248046875,40.787559509277344,1,N,-73.97223663330078,40.76537322998047,1,8.5,0.0,0.5,1.0,0.0,0.3,10.3
2,2015-07-17 03:14:54,2015-07-17 03:22:00,1,1.34,-73.99201202392578,40.72180938720703,1,N,-74.00483703613281,40.70858001708984,1,7.0,0.5,0.5,1.0,0.0,0.3,9.3
2,2015-07-08 22:10:12,2015-07-08 22:18:47,1,1.7,-73.96848297119139,40.75511169433594,1,N,-73.96210479736328,40.7736930847168,1,8.5,0.5,0.5,1.96,0.0,0.3,11.76
2,2015-07-13 18:27:31,2015-07-13 18:31:04,3,0.48,-74.0072021484375,40.73423004150391,1,N,-74.00556945800781,40.74082946777344,1,4.0,1.0,0.5,1.16,0.0,0.3,6.96
